invoice_and_item_number,date,store_name,city,county,category_name,vendor_name,item_description,state_bottle_retail,bottles_sold,sale_dollars
INV-79725700002,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,E & J GALLO WINERY,NEW AMSTERDAM 80PRF,6.0,48,288.0
INV-79438900035,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN SCHNAPPS,SAZERAC COMPANY  INC,99 BANANAS MINI,78.6,1,78.6
INV-78786000010,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,SAZERAC COMPANY  INC,KENTUCKY TAVERN BOURBON,6.75,1,6.75
INV-79901500016,2025-02-24,PRIMESTAR / MARENGO,MARENGO,IOWA,100% AGAVE TEQUILA,PROXIMO,1800 SILVER,13.88,2,27.76
INV-78319900004,2025-01-06,PRIMESTAR / MARENGO,MARENGO,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS OLD #7 BLACK LABEL SQUARE,12.38,4,49.52
INV-79736200006,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,CAMPARI AMERICA,WILD TURKEY 101,22.5,3,67.5
INV-78755500030,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,WHITE RUM,BACARDI USA INC,BACARDI SUPERIOR PET,13.49,4,53.96
INV-78814000002,2025-01-21,WILTON EXPRESS,WILTON,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,8.13,12,97.56
INV-78823700001,2025-01-21,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,9.0,12,108.0
INV-79725700019,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,MIXTO TEQUILA,PROXIMO,JOSE CUERVO ESPECIAL REPOSADO,5.45,48,261.6
INV-79258600024,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN VODKAS,SAZERAC COMPANY  INC,FLEISCHMANNS 80PRF VODKA,9.75,60,585.0
INV-78271300017,2025-01-03,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS MINI,9.68,1,9.68
INV-78390200006,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM MINI,10.5,2,21.0
INV-78786000003,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,TEMPORARY & SPECIALTY PACKAGES,DIAGEO AMERICAS,BULLEIT BOURBON BOTTLED IN BOND,41.24,1,41.24
INV-79753900014,2025-02-19,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,COFFEE LIQUEURS,PERNOD RICARD USA,KAHLUA COFFEE,20.99,2,41.98
INV-79005600015,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,IMPORTED CORDIALS & LIQUEURS,CAMPARI AMERICA,GRAND MARNIER CORDON ROUGE,34.5,3,105.75
INV-79901400007,2025-02-24,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,EVAN WILLIAMS BLACK,26.25,2,52.5
INV-79344100007,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,9.0,12,108.0
INV-79919600018,2025-02-24,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED,27.74,6,166.44
INV-78900100009,2025-01-22,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN BRANDIES,LUXCO INC,PARAMOUNT BLACKBERRY BRANDY,17.63,6,105.78
INV-79901400015,2025-02-24,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN BRANDIES,LUXCO INC,PARAMOUNT CHERRY BRANDY,10.13,2,20.26
INV-79695400012,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,SPICED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON SPICED,10.5,3,31.5
INV-79478900010,2025-02-10,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN SCHNAPPS,SAZERAC COMPANY  INC,99 PEPPERMINT,1.5,48,72.0
INV-79695200006,2025-02-17,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,3.0,24,72.0
INV-79322300006,2025-02-04,HOMETOWN FOODS / TRAER,TRAER,IOWA,FLAVORED RUM,JIM BEAM BRANDS,CRUZAN BLACK CHERRY,10.5,12,126.0
INV-78562500015,2025-01-13,BIG G FOOD STORE,MARENGO,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,13.5,12,162.0
INV-79655900004,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,6,103.5
INV-79795700009,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,SPICED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON SPICED,18.75,6,112.5
INV-79074800018,2025-01-27,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,COCKTAILS/RTD,PROXIMO,JOSE CUERVO AUTHENTIC LIGHT WHITE PEACH MARGARITA,13.11,6,78.66
INV-78786200018,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,5.25,24,126.0
INV-79753900009,2025-02-19,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,AMERICAN VODKAS,LAIRD & COMPANY,FIVE O'CLOCK VODKA,11.58,12,138.96
INV-79901500018,2025-02-24,PRIMESTAR / MARENGO,MARENGO,IOWA,100% AGAVE TEQUILA,BACARDI USA INC,PATRON SILVER MINI,34.5,1,34.5
INV-78334200009,2025-01-06,COLONY POINT FUEL & GAS - WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA MINI,19.2,5,96.0
INV-79472400014,2025-02-10,WILTON EXPRESS,WILTON,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,SOUTHERN COMFORT MINI,7.86,10,78.6
INV-79695200003,2025-02-17,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,EVAN WILLIAMS BLACK,14.25,6,85.5
INV-78786100017,2025-01-20,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN CORDIALS & LIQUEURS,SAZERAC COMPANY  INC,99 MANGOES,1.5,48,72.0
INV-78196800013,2025-01-02,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,6,171.0
INV-78605400010,2025-01-14,HOMETOWN FOODS / TRAER,TRAER,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET PEACH CANADIAN WHISKEY,17.25,6,103.5
INV-78786200007,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,4.88,48,234.24
INV-79988700012,2025-02-26,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,IMPORTED CORDIALS & LIQUEURS,DIAGEO AMERICAS,BAILEYS COFFEE TOFFEE NON-DAIRY MINI,44.7,1,44.7
INV-78786100019,2025-01-20,PRIMESTAR / MARENGO,MARENGO,IOWA,100% AGAVE TEQUILA,DIAGEO AMERICAS,CASAMIGOS BLANCO MINI,35.46,1,35.46
INV-79695200005,2025-02-17,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS OLD #7 BLACK LABEL MINI,17.25,12,207.0
INV-78786100014,2025-01-20,PRIMESTAR / MARENGO,MARENGO,IOWA,IMPORTED SCHNAPPS,SAZERAC COMPANY  INC,DR MCGILLICUDDYS WILD GRAPE,13.34,1,13.34
INV-78397000001,2025-01-07,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,COCKTAILS/RTD,PROXIMO,JOSE CUERVO AUTHENTIC PINK LEMONADE MARGARITA,6.96,6,41.76
INV-78390200005,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,ELIJAH  CRAIG TOASTED BARREL,41.25,3,123.75
INV-78557900023,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,100% AGAVE TEQUILA,BACARDI USA INC,PATRON SILVER,22.5,6,135.0
INV-78390200033,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,IMPORTED BRANDIES,MOET HENNESSY USA,HENNESSY VS,29.99,4,119.96
INV-78664800017,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,11.99,12,143.88
INV-79005600006,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA PET,5.25,12,63.0
INV-78557900010,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,15.0,12,180.0
INV-79068000009,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN VODKAS,LAIRD & COMPANY,FIVE O'CLOCK VODKA,11.58,6,69.48
INV-78390200020,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,E & J GALLO WINERY,NEW AMSTERDAM 80PRF MINI,6.92,1,6.92
INV-78755500039,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN CORDIALS & LIQUEURS,SAZERAC COMPANY  INC,99 PINK LEMONADE MINI,78.6,1,78.6
INV-79962100012,2025-02-25,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS MINI,9.68,12,116.16
INV-79258600016,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,LUXCO INC,PENELOPE WHEATED,30.0,2,60.0
INV-78381800014,2025-01-07,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,TENNESSEE WHISKIES,OLE SMOKY DISTILLERY LLC,OLE SMOKY PEACH WHISKEY,16.5,2,33.0
INV-79704100044,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN FLAVORED VODKA,PARK STREET IMPORTS,THE ORIGINAL PICKLE SHOT SPICY PICKLE VODKA,12.51,3,37.53
INV-79753900017,2025-02-19,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,AMERICAN CORDIALS & LIQUEURS,LUXCO INC,PARAMOUNT CREME DE MENTHE GREEN,7.88,3,23.64
INV-79962100022,2025-02-25,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,BACARDI USA INC,PATRON SILVER,14.25,12,171.0
INV-79114900028,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,SPICED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON SPICED,18.75,2,37.5
INV-79695300002,2025-02-17,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,JIM BEAM BRANDS,CANADIAN CLUB WHISKY,12.0,12,144.0
INV-78538100010,2025-01-13,WILTON EXPRESS,WILTON,IOWA,AMERICAN FLAVORED VODKA,PARK STREET IMPORTS,THE ORIGINAL PICKLE SHOT DILL PICKLE VODKA,5.25,24,126.0
INV-79655900008,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,BLENDED WHISKIES,LAIRD & COMPANY,FIVE STAR,1.97,48,94.56
INV-79704100007,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,TEMPORARY & SPECIALTY PACKAGES,SAZERAC COMPANY  INC,BP DEVILS RIVER SINGLE BARREL BOURBON,48.74,1,48.74
INV-79478800006,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,WHISKEY LIQUEUR,PARK STREET IMPORTS,HEAVENS DOOR ASCENSION KENTUCKY STRAIGHT BOURBON WHISKEY,37.5,1,37.5
INV-79695400001,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,9.0,3,27.0
INV-79114900023,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,15.0,3,45.0
INV-79704100035,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,PERNOD RICARD USA,KAHLUA FROZEN MUDSLIDE,11.99,2,23.98
INV-79068000007,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN DRY GINS,DIAGEO AMERICAS,AVIATION AMERICAN GIN,21.75,6,130.5
INV-79005600003,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,BOTTLED IN BOND BOURBON,HEAVEN HILL BRANDS,JTS BROWN BONDED BOURBON,13.5,12,162.0
INV-79504400008,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,LAIRD & COMPANY,FIVE O'CLOCK VODKA,2.9,24,69.6
INV-78813900005,2025-01-21,WILTON EXPRESS,WILTON,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,3.0,24,72.0
INV-78823700032,2025-01-21,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CREAM LIQUEURS,SAZERAC COMPANY  INC,RYANS CREAM LIQUEUR,10.05,12,120.6
INV-79104900002,2025-01-28,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED BARREL,27.74,6,166.44
INV-79005600008,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,SAZERAC COMPANY  INC,NIKOLAI VODKA,10.59,6,63.54
INV-79344100014,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,13.5,48,648.0
INV-78562600010,2025-01-13,CASEY'S GENERAL STORE #2533 / MARENGO,MARENGO,IOWA,AMERICAN SCHNAPPS,SAZERAC COMPANY  INC,99 STRAWBERRIES MINI,78.6,1,78.6
INV-79695400010,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,BLENDED WHISKIES,JIM BEAM BRANDS,RED STAG BLACK CHERRY,17.25,3,51.75
INV-79258700015,2025-02-03,PRIMESTAR / MARENGO,MARENGO,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,1.5,48,72.0
INV-79344100003,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,12.74,24,305.76
INV-78397000022,2025-01-07,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS,4.83,24,115.92
INV-78586700008,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,MIXTO TEQUILA,PROXIMO,JOSE CUERVO ESPECIAL SILVER,9.8,24,235.2
INV-78379900004,2025-01-07,HOMETOWN FOODS / TRAER,TRAER,IOWA,AMERICAN VODKAS,LAIRD & COMPANY,FIVE O'CLOCK VODKA,11.58,6,69.48
INV-78586600019,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,COCKTAILS/RTD,PROXIMO,1800 ULTIMATE WILD BERRY MARGARITA,15.06,6,90.36
INV-78755500035,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,IMPORTED SCHNAPPS,SAZERAC COMPANY  INC,DR MCGILLICUDDYS CHERRY,22.5,6,135.0
INV-79478800016,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,TEMPORARY & SPECIALTY PACKAGES,SHAW-ROSS INTERNATIONAL,PAPAS PILAR DARK RUM,35.25,1,35.25
INV-79695400006,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,DIAGEO AMERICAS,BULLEIT BOURBON,26.99,2,53.98
INV-78755500009,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,SINGLE BARREL BOURBON WHISKIES,SAZERAC COMPANY  INC,EAGLE RARE,32.25,2,57.0
INV-79258600034,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY MINI SLEEVE,6.56,36,236.16
INV-79736200019,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,19.76,3,59.28
INV-79900600002,2025-02-24,WILTON EXPRESS,WILTON,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,6.33,24,151.92
INV-79725700003,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,8.13,24,195.12
INV-78538100003,2025-01-13,WILTON EXPRESS,WILTON,IOWA,SPICED RUM,HEAVEN HILL BRANDS,ADMIRAL NELSON SPICED PET,10.5,12,126.0
INV-79005600010,2025-01-24,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,FLAVORED RUM,PERNOD RICARD USA,MALIBU COCONUT,17.24,12,206.88
INV-79901700001,2025-02-24,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PARTY BUCKET,78.6,1,78.6
